"Country","Year","meanPrec"
"AT","1961",6.68985054025805
"BE","1961",7.64578709718115
"BG","1961",4.52788624413156
"CY","1961",4.06359115759317
"CZ","1961",5.23809262637029
"DE","1961",7.04996936873475
"DK","1961",6.06161265537909
"EE","1961",6.07096722669592
"ES","1961",5.23864944423904
"FI","1961",5.43416505299488
"FR","1961",6.26194977995396
"GB","1961",6.70109674890257
"GR","1961",5.20367551142584
"HR","1961",6.91669081771767
"HU","1961",3.69841601945896
"IE","1961",8.64901008746572
"IT","1961",6.31701624343829
"LT","1961",5.04925823533217
"LU","1961",7.772377700952
"LV","1961",4.99607288039104
"MT","1961",0
"NL","1961",7.96831982920456
"PL","1961",4.97972384424096
"PT","1961",7.12232507864082
"RO","1961",3.60473466299754
"SE","1961",5.54656980605451
"SI","1961",9.66887952491683
"SK","1961",4.88599578880026
"AT","1962",7.3305185685049
"BE","1962",6.4321504502013
"BG","1962",4.83302013082129
"CY","1962",3.55791970489131
"CZ","1962",5.19843415256976
"DE","1962",5.64008187234218
"DK","1962",5.68481920316896
"EE","1962",6.85629682065396
"ES","1962",5.46304158549841
"FI","1962",5.47250970782835
"FR","1962",6.07588641610416
"GB","1962",6.19288029986937
"GR","1962",7.40593814110829
"HR","1962",8.03671565185208
"HU","1962",4.21528054126692
"IE","1962",8.39500059164787
"IT","1962",6.4260198564203
"LT","1962",5.7471501620427
"LU","1962",6.00498500231007
"LV","1962",6.45490492329639
"MT","1962",0
"NL","1962",6.09242860600701
"PL","1962",5.30923742312141
"PT","1962",6.06054180328101
"RO","1962",4.01019590799177
"SE","1962",5.56678821505124
"SI","1962",11.2772735563619
"SK","1962",5.57327112905357
"AT","1963",6.28133548916473
"BE","1963",5.68036264042283
"BG","1963",4.91176627854738
"CY","1963",2.95231410178492
"CZ","1963",4.91142104467285
"DE","1963",5.32740419985543
"DK","1963",5.80980120565528
"EE","1963",5.07470503201087
"ES","1963",6.47733969748098
"FI","1963",4.39301431198568
"FR","1963",6.79843236842728
"GB","1963",6.54162401655888
"GR","1963",6.5536782412711
"HR","1963",7.88359233299475
"HU","1963",5.06515471621431
"IE","1963",8.22425919097726
"IT","1963",7.98696580651969
"LT","1963",4.94578794037515
"LU","1963",5.61360269133373
"LV","1963",4.518132135345
"MT","1963",0
"NL","1963",5.82947625130875
"PL","1963",4.49196684114212
"PT","1963",10.6672299050155
"RO","1963",3.7195751203792
"SE","1963",5.02199899185338
"SI","1963",10.8299207161733
"SK","1963",5.32643234482494
"AT","1964",7.31893457197673
"BE","1964",5.98715567570621
"BG","1964",4.68078021909638
"CY","1964",3.52266186281002
"CZ","1964",4.84388633989938
"DE","1964",5.04123353241555
"DK","1964",4.93496445378353
"EE","1964",4.67700845013732
"ES","1964",4.12585118441211
"FI","1964",4.10333212005035
"FR","1964",5.60730248211754
"GB","1964",5.48728687558162
"GR","1964",5.33103333317651
"HR","1964",8.98337558550551
"HU","1964",5.16809471697772
"IE","1964",8.64614945662474
"IT","1964",7.19854983997224
"LT","1964",4.36275110108341
"LU","1964",5.5937000601413
"LV","1964",4.68535830843385
"MT","1964",0
"NL","1964",5.74547166961214
"PL","1964",4.42808471601601
"PT","1964",5.64728013482535
"RO","1964",4.35915197057109
"SE","1964",4.52816246488411
"SI","1964",10.5829762155408
"SK","1964",5.60862076050638
"AT","1965",8.83417517676751
"BE","1965",8.62196042849013
"BG","1965",4.45026671097464
"CY","1965",3.70585128546154
"CZ","1965",6.37044290337284
"DE","1965",7.88686766088447
"DK","1965",5.86923731019963
"EE","1965",5.02198034161039
"ES","1965",4.93971709992893
"FI","1965",4.5990409227674
"FR","1965",8.11758213671913
"GB","1965",7.43905701548189
"GR","1965",5.61678102838808
"HR","1965",9.26163986457439
"HU","1965",6.34388421678482
"IE","1965",9.67377346602522
"IT","1965",6.61240550387215
"LT","1965",5.11507561869583
"LU","1965",9.50287180847513
"LV","1965",5.09528566231155
"MT","1965",0
"NL","1965",8.27319577856736
"PL","1965",5.11485486141754
"PT","1965",7.89064664610972
"RO","1965",3.91513599888845
"SE","1965",5.47802242519478
"SI","1965",13.0267157823223
"SK","1965",7.30070471571497
"AT","1966",8.52600772641734
"BE","1966",8.8250950359151
"BG","1966",6.64124252494126
"CY","1966",3.55788968867964
"CZ","1966",6.64848443380308
"DE","1966",7.79788034381591
"DK","1966",6.63696156057408
"EE","1966",6.43161516964212
"ES","1966",5.14049834397732
"FI","1966",4.9068999713184
"FR","1966",7.89798062285131
"GB","1966",7.73230742324845
"GR","1966",6.27889056605909
"HR","1966",9.17738259891253
"HU","1966",5.90182755662105
"IE","1966",9.84244130164703
"IT","1966",7.46088640081288
"LT","1966",5.73043729234057
"LU","1966",9.22799906556954
"LV","1966",5.83020976420286
"MT","1966",0
"NL","1966",8.55352293785089
"PL","1966",6.0592248195668
"PT","1966",8.43442097670756
"RO","1966",5.44907772185961
"SE","1966",5.68379043470276
"SI","1966",10.9454808322544
"SK","1966",6.95302959207607
"AT","1967",6.73453354315691
"BE","1967",6.12827928586651
"BG","1967",4.6295617567198
"CY","1967",4.2782253539547
"CZ","1967",5.42368715880021
"DE","1967",6.70868500053092
"DK","1967",6.98523125124643
"EE","1967",6.17323127941469
"ES","1967",4.28869932335178
"FI","1967",5.32499717331648
"FR","1967",6.15680062776246
"GB","1967",7.43164349917588
"GR","1967",5.08987606855697
"HR","1967",7.6348718595661
"HU","1967",4.23209742884632
"IE","1967",8.96358181135298
"IT","1967",5.93581301676945
"LT","1967",5.87104482739279
"LU","1967",8.01606037433514
"LV","1967",5.727970532117
"MT","1967",0
"NL","1967",6.75933169616798
"PL","1967",5.82016916247676
"PT","1967",5.24999999789283
"RO","1967",3.86779678637976
"SE","1967",6.25603213496295
"SI","1967",9.22313024939832
"SK","1967",5.26535931125931
"AT","1968",6.56842788705641
"BE","1968",6.46352860448957
"BG","1968",4.62475070998674
"CY","1968",4.14848325004002
"CZ","1968",5.4983073893051
"DE","1968",6.69585452384573
"DK","1968",6.17900868839646
"EE","1968",5.32211892285597
"ES","1968",4.79419855748223
"FI","1968",4.64308506680932
"FR","1968",7.21834147420174
"GB","1968",7.2562012883391
"GR","1968",6.12659969880689
"HR","1968",6.81856010631687
"HU","1968",4.12564661465469
"IE","1968",9.08614146235363
"IT","1968",6.87288646643123
"LT","1968",5.01061112123518
"LU","1968",7.76625751711413
"LV","1968",5.05080476834752
"MT","1968",0
"NL","1968",7.17641973556874
"PL","1968",5.08107082971305
"PT","1968",7.39425697305098
"RO","1968",4.34078260762591
"SE","1968",5.31787657008297
"SI","1968",9.59918294426829
"SK","1968",5.4816431272379
"AT","1969",6.59432859376471
"BE","1969",6.20199180441172
"BG","1969",5.46218377811609
"CY","1969",3.85288969611378
"CZ","1969",4.45916748449044
"DE","1969",5.78001808211519
"DK","1969",4.88946506516328
"EE","1969",5.21107210727332
"ES","1969",6.51323398937457
"FI","1969",4.08718744987393
"FR","1969",6.71622764841698
"GB","1969",6.67741769492488
"GR","1969",5.56852970600082
"HR","1969",8.74838099269555
"HU","1969",5.22780020824443
"IE","1969",7.43386388133995
"IT","1969",7.16174928916621
"LT","1969",4.82437898867627
"LU","1969",6.44429390905741
"LV","1969",5.00827660557847
"MT","1969",0
"NL","1969",6.06401510171816
"PL","1969",3.99249271463111
"PT","1969",8.84190032833949
"RO","1969",5.23181667355629
"SE","1969",4.72774887649052
"SI","1969",10.4728828135227
"SK","1969",5.23060267072909
"AT","1970",8.01717954739739
"BE","1970",6.67279811292845
"BG","1970",5.3940723201457
"CY","1970",2.60023982156229
"CZ","1970",6.26775821239937
"DE","1970",7.26640666613691
"DK","1970",6.02509084396223
"EE","1970",5.48576125565651
"ES","1970",4.25883160192522
"FI","1970",4.70194727510332
"FR","1970",6.60761384598894
"GB","1970",6.95163296640581
"GR","1970",4.9348801727334
"HR","1970",8.45850846925235
"HU","1970",5.39563429978727
"IE","1970",8.68609429578764
"IT","1970",5.94892913967358
"LT","1970",5.57209434290924
"LU","1970",8.31634476983143
"LV","1970",5.51114632646574
"MT","1970",0
"NL","1970",7.04086434422933
"PL","1970",6.27143830108742
"PT","1970",6.32839001704971
"RO","1970",5.5345561892559
"SE","1970",5.50948810213675
"SI","1970",10.3433566529766
"SK","1970",6.69587861228248
"AT","1971",5.20896625108161
"BE","1971",5.15876482050175
"BG","1971",5.64362797588493
"CY","1971",4.05790175239799
"CZ","1971",4.54645383463226
"DE","1971",4.82169279836067
"DK","1971",4.97059767102283
"EE","1971",5.43073503190324
"ES","1971",5.44520714569808
"FI","1971",4.3783676976824
"FR","1971",6.09732979381039
"GB","1971",5.99336704508924
"GR","1971",6.11103698363891
"HR","1971",5.68462492411699
"HU","1971",3.55215785850792
"IE","1971",6.69746379639472
"IT","1971",6.69242551737159
"LT","1971",4.34116390068473
"LU","1971",5.53689368090736
"LV","1971",4.66711843079926
"MT","1971",0
"NL","1971",4.89221674030165
"PL","1971",4.26187724685826
"PT","1971",6.26459064035488
"RO","1971",4.40464170113587
"SE","1971",4.85105064095252
"SI","1971",7.64570028983912
"SK","1971",4.72095955188436
"AT","1972",7.02395945863901
"BE","1972",5.97114452758656
"BG","1972",5.46323292696623
"CY","1972",2.27244005542543
"CZ","1972",4.79955218940983
"DE","1972",5.32487286035083
"DK","1972",4.83105404188241
"EE","1972",5.56200842967027
"ES","1972",5.93307423368207
"FI","1972",4.68459889246927
"FR","1972",6.38310001957357
"GB","1972",6.34553875649842
"GR","1972",6.2394573657816
"HR","1972",9.02633790318193
"HU","1972",5.02821508439353
"IE","1972",8.52408450161806
"IT","1972",8.05795445491132
"LT","1972",5.82574396076539
"LU","1972",6.50679146532646
"LV","1972",5.19166136839632
"MT","1972",0
"NL","1972",5.92073089131311
"PL","1972",5.00137198555006
"PT","1972",7.86709304575481
"RO","1972",5.15918445916638
"SE","1972",4.72845958067641
"SI","1972",11.4258123597428
"SK","1972",5.60682185810815
"AT","1973",6.25410044779225
"BE","1973",5.46067905465902
"BG","1973",4.89449396252388
"CY","1973",2.21384890097901
"CZ","1973",4.35535846695284
"DE","1973",5.56709806742712
"DK","1973",5.08132921422137
"EE","1973",5.90889421745521
"ES","1973",3.80061650548028
"FI","1973",4.62510432204623
"FR","1973",5.58146712456502
"GB","1973",5.49770503046444
"GR","1973",5.94809822246829
"HR","1973",6.45151704550989
"HU","1973",3.79085560077128
"IE","1973",8.0853015988747
"IT","1973",6.616929897354
"LT","1973",5.22690044689362
"LU","1973",5.91775953825823
"LV","1973",5.1312842840147
"MT","1973",0
"NL","1973",6.18557995033872
"PL","1973",4.48246080090755
"PT","1973",4.94153586050348
"RO","1973",3.69550417135165
"SE","1973",4.83520534250763
"SI","1973",8.94261440193675
"SK","1973",4.36517995378713
"AT","1974",7.2689940058738
"BE","1974",7.74145052276521
"BG","1974",4.25571159804222
"CY","1974",2.83084527626678
"CZ","1974",6.17966094976077
"DE","1974",6.94833102943838
"DK","1974",5.85344961083077
"EE","1974",5.7669279120137
"ES","1974",4.17751867558415
"FI","1974",6.25286996035505
"FR","1974",7.04465251269572
"GB","1974",7.28320041156355
"GR","1974",5.67184390390566
"HR","1974",8.85526234417818
"HU","1974",5.85954245913166
"IE","1974",9.2395020941469
"IT","1974",6.69522384535298
"LT","1974",6.29235011275952
"LU","1974",8.28167906174522
"LV","1974",5.64896386610469
"MT","1974",0
"NL","1974",7.20066072335571
"PL","1974",5.98106799768448
"PT","1974",5.38231859083013
"RO","1974",4.78279231648119
"SE","1974",5.86342549416688
"SI","1974",10.3845565173528
"SK","1974",6.62004289713684
"AT","1975",6.80513584717435
"BE","1975",5.73271268502532
"BG","1975",5.21345535307692
"CY","1975",4.48650477828382
"CZ","1975",4.92915054246946
"DE","1975",5.21600427653904
"DK","1975",4.25021588714714
"EE","1975",5.16613763525022
"ES","1975",4.57767503979655
"FI","1975",4.13194202471928
"FR","1975",6.23705926970646
"GB","1975",5.60022535114391
"GR","1975",5.19552714649477
"HR","1975",7.10391972752806
"HU","1975",4.73092338041515
"IE","1975",7.35274614607595
"IT","1975",7.1330742502803
"LT","1975",4.21820324261328
"LU","1975",5.94648949636849
"LV","1975",4.26827660488549
"MT","1975",0
"NL","1975",5.60004741083028
"PL","1975",4.38820763753062
"PT","1975",5.45871720864936
"RO","1975",4.24863390831237
"SE","1975",4.20013567742594
"SI","1975",9.79090563757093
"SK","1975",5.30529951323544
"AT","1976",6.39637510733366
"BE","1976",4.29153591877621
"BG","1976",4.94387918783413
"CY","1976",3.53315948736932
"CZ","1976",4.73348823942997
"DE","1976",4.66783986074278
"DK","1976",4.24106019794972
"EE","1976",4.6841292108601
"ES","1976",5.15771170977858
"FI","1976",3.73598334303247
"FR","1976",5.61604618990949
"GB","1976",6.09785210855764
"GR","1976",6.08104336886297
"HR","1976",8.00440686177642
"HU","1976",4.78343049072426
"IE","1976",7.9855528027376
"IT","1976",8.62384223395677
"LT","1976",4.16576980238266
"LU","1976",5.35297405734629
"LV","1976",4.40622226157114
"MT","1976",0
"NL","1976",4.49297752985138
"PL","1976",4.39259692505885
"PT","1976",7.0455073766182
"RO","1976",4.24800635725426
"SE","1976",4.41134995184358
"SI","1976",9.49254436770073
"SK","1976",5.51694082927143
"AT","1977",6.26073707421513
"BE","1977",6.9357086880291
"BG","1977",4.61390550448277
"CY","1977",2.87540767630406
"CZ","1977",5.80273987202249
"DE","1977",6.51099690392817
"DK","1977",5.79323371722758
"EE","1977",6.18585861349262
"ES","1977",5.44009077157583
"FI","1977",5.38960173512795
"FR","1977",7.63739743923414
"GB","1977",7.04257242033511
"GR","1977",4.16197239644778
"HR","1977",7.40721954239739
"HU","1977",4.50827100447327
"IE","1977",9.32389473395769
"IT","1977",6.66410242729201
"LT","1977",5.68216610328183
"LU","1977",8.54409184439216
"LV","1977",5.84680787144564
"MT","1977",0
"NL","1977",6.50124061559693
"PL","1977",5.30087513123492
"PT","1977",8.83682783116587
"RO","1977",3.98780379364247
"SE","1977",6.30821977843136
"SI","1977",9.51824463863555
"SK","1977",5.24177656499804
"AT","1978",5.70140285615365
"BE","1978",6.03397140469054
"BG","1978",5.08502600617515
"CY","1978",3.76545566832312
"CZ","1978",5.06759400462681
"DE","1978",6.315686569912
"DK","1978",5.72108828954429
"EE","1978",7.15204776964161
"ES","1978",4.77052663141579
"FI","1978",3.89198084272394
"FR","1978",6.65047950261697
"GB","1978",6.74989237264052
"GR","1978",6.14182521895137
"HR","1978",7.18572263607192
"HU","1978",4.67219292824895
"IE","1978",8.64701007022694
"IT","1978",7.50024953436741
"LT","1978",6.08558387342918
"LU","1978",6.846065324997
"LV","1978",6.57246084039872
"MT","1978",0
"NL","1978",5.80970738286132
"PL","1978",5.2114161317491
"PT","1978",8.09814461220462
"RO","1978",4.86411627982509
"SE","1978",5.04655782374787
"SI","1978",9.51943747152468
"SK","1978",4.76372403083504
"AT","1979",7.77912080363182
"BE","1979",7.05979166103
"BG","1979",5.34627351306949
"CY","1979",3.65945449394645
"CZ","1979",5.87554563811772
"DE","1979",6.44630280649176
"DK","1979",6.192140160597
"EE","1979",5.55553839773721
"ES","1979",5.49699959502638
"FI","1979",5.1977316724185
"FR","1979",7.81751933880539
"GB","1979",7.37398215688994
"GR","1979",6.61083879972161
"HR","1979",8.00811327392784
"HU","1979",5.13895247647887
"IE","1979",9.43065897294564
"IT","1979",7.95610027919559
"LT","1979",5.48382342978574
"LU","1979",8.31902954357113
"LV","1979",5.21701191314394
"MT","1979",0
"NL","1979",6.90654843075947
"PL","1979",4.86674797617767
"PT","1979",8.24009030458892
"RO","1979",4.95569480672442
"SE","1979",5.79557757299302
"SI","1979",11.1799766579234
"SK","1979",5.84310629177065
"AT","1980",6.94581068261945
"BE","1980",7.19589348242851
"BG","1980",5.37731932734864
"CY","1980",2.7705516009223
"CZ","1980",5.59566748411359
"DE","1980",6.59485733732035
"DK","1980",6.85055293204262
"EE","1980",5.91591857241446
"ES","1980",4.00066127140061
"FI","1980",4.92635896510336
"FR","1980",6.87912331079206
"GB","1980",7.24803225775302
"GR","1980",6.34472158378581
"HR","1980",8.58231812970682
"HU","1980",5.41638848774326
"IE","1980",9.61986271240533
"IT","1980",7.31340200601694
"LT","1980",6.67573046935733
"LU","1980",8.00649706683235
"LV","1980",6.20737145074415
"MT","1980",0
"NL","1980",6.6587950660732
"PL","1980",5.57440942596296
"PT","1980",4.52073088223949
"RO","1980",5.34724245708757
"SE","1980",5.9194699622503
"SI","1980",10.8925606801508
"SK","1980",6.05855013021236
"AT","1981",6.99760925922833
"BE","1981",8.12421809112968
"BG","1981",5.02980164393466
"CY","1981",4.13452642832657
"CZ","1981",6.49255547393215
"DE","1981",7.79140215370167
"DK","1981",6.73987403293859
"EE","1981",7.58340729985121
"ES","1981",3.93458142711941
"FI","1981",6.1538613913754
"FR","1981",7.63097466871854
"GB","1981",7.34297430873429
"GR","1981",5.97626480798368
"HR","1981",8.30449678898018
"HU","1981",4.64699127413237
"IE","1981",9.20354683406271
"IT","1981",6.2076334719666
"LT","1981",6.47375933707285
"LU","1981",9.41509479028498
"LV","1981",6.65362431653333
"MT","1981",0
"NL","1981",7.44556004472761
"PL","1981",5.7586213990416
"PT","1981",5.62056607110352
"RO","1981",4.85808199146494
"SE","1981",6.06351872888249
"SI","1981",9.69571427100735
"SK","1981",5.4750223684678
"AT","1982",6.60707707855382
"BE","1982",7.04476901783895
"BG","1982",4.83530684724951
"CY","1982",2.53458633161277
"CZ","1982",4.05700518230149
"DE","1982",5.42970435792084
"DK","1982",5.87258556240616
"EE","1982",5.3368652053875
"ES","1982",4.31053397133319
"FI","1982",4.58590813924411
"FR","1982",7.81582384825704
"GB","1982",7.4559857291961
"GR","1982",6.34000090997057
"HR","1982",7.28178008720559
"HU","1982",4.41883445855376
"IE","1982",10.051824134293
"IT","1982",7.64879138358371
"LT","1982",4.35501978657361
"LU","1982",7.48384482980131
"LV","1982",4.57251958570915
"MT","1982",0
"NL","1982",5.7797875652292
"PL","1982",2.67163474909947
"PT","1982",5.02600056738229
"RO","1982",3.82709313815412
"SE","1982",5.08282107334222
"SI","1982",10.7963772639215
"SK","1982",4.80245230851902
"AT","1983",5.86958729076213
"BE","1983",6.83809188650752
"BG","1983",4.27009822480111
"CY","1983",3.54779380651937
"CZ","1983",4.45694016030842
"DE","1983",6.14900747641274
"DK","1983",5.9625522212562
"EE","1983",6.20320976488153
"ES","1983",3.98159326197466
"FI","1983",5.42259097175039
"FR","1983",6.88709331864113
"GB","1983",6.61667581502413
"GR","1983",5.73495897009164
"HR","1983",5.87601988467873
"HU","1983",3.74098189645601
"IE","1983",8.95217526054467
"IT","1983",6.0857414453445
"LT","1983",5.90612706900856
"LU","1983",7.57635480748441
"LV","1983",5.63582312381622
"MT","1983",0
"NL","1983",7.00806588404428
"PL","1983",3.23367653271077
"PT","1983",6.43723641650878
"RO","1983",3.36112392519475
"SE","1983",5.33307756064696
"SI","1983",8.01112512772491
"SK","1983",4.55602898785961
"AT","1984",6.26351169229652
"BE","1984",7.69887378065739
"BG","1984",4.70310119923891
"CY","1984",3.61594721987817
"CZ","1984",4.86526558237832
"DE","1984",6.49179436414869
"DK","1984",5.83226960782947
"EE","1984",5.90522472395209
"ES","1984",4.83188362946254
"FI","1984",5.45789341024962
"FR","1984",7.45913792585457
"GB","1984",6.95284509596852
"GR","1984",5.32841170831104
"HR","1984",8.3767632744635
"HU","1984",4.87276798210535
"IE","1984",8.75963999156355
"IT","1984",7.96605939123622
"LT","1984",5.28984048074097
"LU","1984",8.49905186445413
"LV","1984",5.19309663894692
"MT","1984",0
"NL","1984",7.46752164970708
"PL","1984",3.15326789115007
"PT","1984",6.76170675656003
"RO","1984",4.77555283597286
"SE","1984",5.78148128821237
"SI","1984",10.3476143635176
"SK","1984",5.66286354161403
"AT","1985",7.34431271742274
"BE","1985",6.33249564715655
"BG","1985",3.62551378121675
"CY","1985",2.78154677223655
"CZ","1985",5.32718360540116
"DE","1985",5.74002493268028
"DK","1985",6.2683486560834
"EE","1985",6.36207770993201
"ES","1985",4.17932634653714
"FI","1985",4.87906558225547
"FR","1985",5.66139070557426
"GB","1985",6.94090447477554
"GR","1985",5.10226487070719
"HR","1985",7.22374796169704
"HU","1985",4.92324044649908
"IE","1985",9.34936122350563
"IT","1985",6.40462555174094
"LT","1985",5.95452173466336
"LU","1985",6.23671901142764
"LV","1985",5.87297300312339
"MT","1985",0
"NL","1985",6.75949381447697
"PL","1985",3.57355033175128
"PT","1985",6.97976191318519
"RO","1985",3.71379607438992
"SE","1985",6.23809789701596
"SI","1985",10.4227661530928
"SK","1985",5.94864067260338
"AT","1986",6.36337353164867
"BE","1986",7.37228558194074
"BG","1986",3.77067370223395
"CY","1986",2.78468227655374
"CZ","1986",5.52624262588475
"DE","1986",6.74279857939412
"DK","1986",5.53952256087668
"EE","1986",6.42627340731549
"ES","1986",4.17579569219378
"FI","1986",5.31695981034125
"FR","1986",7.02484309563985
"GB","1986",7.47611428285184
"GR","1986",5.52239793702737
"HR","1986",7.44030664372795
"HU","1986",4.01382641067336
"IE","1986",9.99074645091206
"IT","1986",6.92899146376973
"LT","1986",6.00921618572884
"LU","1986",7.68154187791957
"LV","1986",6.05330188645137
"MT","1986",0
"NL","1986",6.68250292524096
"PL","1986",2.83504358585885
"PT","1986",5.60200641149019
"RO","1986",3.04163567494622
"SE","1986",5.51778842419539
"SI","1986",9.75377681898692
"SK","1986",4.48535626615321
"AT","1987",7.63216770765712
"BE","1987",7.56542014660031
"BG","1987",4.88497205499696
"CY","1987",3.7173081279098
"CZ","1987",5.90983252081389
"DE","1987",6.90008256194633
"DK","1987",5.99191943626038
"EE","1987",6.41951496968611
"ES","1987",5.17768817600694
"FI","1987",4.98338184941388
"FR","1987",6.77920035986928
"GB","1987",6.96595882536889
"GR","1987",6.1497485120471
"HR","1987",7.78516641455956
"HU","1987",4.89753413157233
"IE","1987",8.02948635987681
"IT","1987",6.9374284363059
"LT","1987",5.69622361915569
"LU","1987",8.09396446679167
"LV","1987",5.4625371442831
"MT","1987",0
"NL","1987",7.2126451499816
"PL","1987",4.54114449171321
"PT","1987",7.47915005986473
"RO","1987",3.39889466623488
"SE","1987",5.5173683091348
"SI","1987",10.8458987427832
"SK","1987",5.20212017497867
"AT","1988",7.29357054679882
"BE","1988",7.99124475374215
"BG","1988",4.37917055602036
"CY","1988",4.39663671819176
"CZ","1988",5.61258851558622
"DE","1988",6.7414763259451
"DK","1988",6.66499208979739
"EE","1988",6.46314699467872
"ES","1988",4.66920783185515
"FI","1988",5.60873483520254
"FR","1988",7.01533466723913
"GB","1988",7.07911454772354
"GR","1988",5.19914071482111
"HR","1988",6.61795290410959
"HU","1988",4.39322007001407
"IE","1988",9.51968419155192
"IT","1988",6.27414857752991
"LT","1988",5.28654565132327
"LU","1988",8.63105537639764
"LV","1988",5.74091658995426
"MT","1988",0
"NL","1988",7.78434630199894
"PL","1988",4.53135279151759
"PT","1988",6.36516237819726
"RO","1988",4.02650621935406
"SE","1988",6.16195763380796
"SI","1988",9.07821665997821
"SK","1988",5.18159721160425
"AT","1989",6.69666781033258
"BE","1989",5.88457462129494
"BG","1989",4.0832838225264
"CY","1989",2.37064747897377
"CZ","1989",4.57375355573626
"DE","1989",5.31618672956815
"DK","1989",4.61414735020122
"EE","1989",5.84660954659016
"ES","1989",5.50631327015535
"FI","1989",4.98845544640597
"FR","1989",5.22305300137081
"GB","1989",6.11498097001358
"GR","1989",4.01697512812811
